res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,20.0,30.0,0.25,0.25,0.75,0.11449576862899481,0.13858861393784933,0.18119097794161854,0.3042079273629852,0.3527731025719837,0.3074357688544973,0.15152872563324887,-0.26684897489248216
default,0.0,0.8,1.0,1.0,0.5,0.0,1.0,0.08316433087824943,0.07236932421389357,0.1175055698360791,0.05572851694693954,0.3010490167491285,0.2580399635939201,0.19049374914891792,-0.5244753222719475
default,0.0,0.8,10.0,5.0,1.0,0.5,0.0,0.12655314821412594,-0.16917131172706387,0.1763654295668102,-0.30232243491125554,0.16991865497689282,0.08783465859717979,0.3690547128462741,-1.183217461448757
default,0.0,0.8,5.0,5.0,0.0,0.5,0.5,0.13762349267300694,0.19009393502670666,0.18969340568391926,0.35634272049842364,0.2482427362680407,0.17921123688053395,0.22681402967818065,-0.5874723200118306
default,0.0,0.8,5.0,10.0,0.0,0.5,0.5,0.12461108778875585,0.1563783560200661,0.19702253008869863,0.36294540615572696,0.2469255228551075,0.19126045969910963,0.22687618936899004,-0.5738118244055556
default,0.0,0.8,1.0,10.0,0.5,1.0,1.0,0.1000512534762933,0.07565273791196243,0.15499889745391146,0.21628129203109053,0.18150223687489375,0.11825018218305654,0.2658864137170783,-0.7701469275023479
default,0.0,0.8,20.0,30.0,1.0,1.0,1.0,0.09200752757103535,0.0903476712058638,0.17430600619439138,0.25659080077619617,0.27135025383226724,0.21482385305345722,0.23453224195033898,-0.6268049595596206
default,0.0,0.8,0.01,0.005,0.4,1.0,0.8,0.09865981898267369,0.07696366353919654,0.11871815293988758,0.08737293242949905,0.2014595034168839,0.1363913094196007,0.19768976551804618,-0.5352474703547943
default,0.0,0.8,5.0,1.0,0.5,0.0,1.0,0.08742316568166779,0.08014251015635572,0.12020434973338416,0.07908859940239285,0.3176443527055454,0.27253503698149734,0.18821448947859287,-0.5059067521809362
default,0.0,0.8,1.0,5.0,0.0,0.5,0.5,0.13710117451180368,0.16841404295670662,0.18127674561221827,0.334231450153452,0.18462883382766557,0.12378415091898512,0.24948033886354135,-0.6756089907386804
default,0.0,0.8,40.0,50.0,0.0,0.5,0.25,0.11660438972760963,0.13854337582284051,0.20747660970631202,0.36524903909350254,0.3412553559506668,0.29771981811207515,0.17440400640697976,-0.328495163777131
default,0.0,0.8,10.0,5.0,0.5,1.0,1.0,0.12411632669795537,0.16491583393478104,0.15793685235840535,0.25648873012323176,0.23242556780705598,0.1642858638714781,0.24005940288419117,-0.6565016650908262
